segmento,valor,clientes,ranking,shopping,sigla
Moda,70161315.8,45548,1,Balneário Shopping,BS
Joalheria,21291185.88,6599,2,Balneário Shopping,BS
Beleza e Bem-estar,16048903.83,22447,3,Balneário Shopping,BS
Calçados,12273777.63,17506,4,Balneário Shopping,BS
Moda Feminina,9260333.45,6278,5,Balneário Shopping,BS
Gastronomia,8247949.56,23742,6,Balneário Shopping,BS
Infantil,6536790.96,11684,7,Balneário Shopping,BS
Eletrônicos,6408245.38,2397,8,Balneário Shopping,BS
Esportes,5853255.63,9773,9,Balneário Shopping,BS
Casa e Decoração,5801884.75,5472,10,Balneário Shopping,BS
