faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),2829,1445,1,8
25-39 (Millennials),17630,9586,2,33
40-54 (Gen X),17134,9303,0,11
55-69 (Boomers),6397,3126,0,4
70+ (Silent),1405,736,0,1
Nao Informado,13,7,51,0
