dia_semana,valor,transacoes,pct_valor,shopping
Domingo,35049759.24,78907,19.347202817426393,Balneário Shopping
Quarta,20646201.85,44142,11.396547744202822,Balneário Shopping
Quinta,21694420.44,44797,11.975156502079319,Balneário Shopping
Sabado,29150103.55,65001,16.090637361274812,Balneário Shopping
Segunda,27908777.89,56877,15.405434956828975,Balneário Shopping
Sexta,23071618.71,49604,12.735359562735171,Balneário Shopping
Terca,23641013.25,49741,13.049661055452507,Balneário Shopping
