metrica,valor,shopping
Qtd High Spenders,6973.0,Balneário Shopping
Valor Total HS,92195263.38,Balneário Shopping
Ticket Medio HS,13221.750090348487,Balneário Shopping
Freq Media HS,21.23849132367704,Balneário Shopping
Idade Media HS,44.126201061236195,Balneário Shopping
% Feminino HS,70.07027104546107,Balneário Shopping
% Masculino HS,29.90104689516707,Balneário Shopping
