loja,valor,clientes,ranking,shopping,sigla
Zara,18350479.07,16166,1,Balneário Shopping,BS
Vivara,9785291.29,2201,2,Balneário Shopping,BS
Renner,8032960.88,14144,3,Balneário Shopping,BS
Sephora,6029583.58,6978,4,Balneário Shopping,BS
Centauro,4827072.83,8379,5,Balneário Shopping,BS
iPlace Mobile,4082257.2,1020,6,Balneário Shopping,BS
C&A,3553027.62,7986,7,Balneário Shopping,BS
Riachuelo,2631696.41,6310,8,Balneário Shopping,BS
Superlegal Brinquedos,2479422.0,5556,9,Balneário Shopping,BS
Paris Cosméticos,2363011.42,4653,10,Balneário Shopping,BS
