faixa_etaria,Feminino,Masculino,Nao Informado,Outro
Boomers (1946-1964),51,21,0,0
Gen X (1965-1980),205,50,0,1
Gen Z (1997-2012),67,24,0,0
Millennials (1981-1996),309,122,1,1
Nao Informado,0,0,1,0
Silent (antes 1946),1,0,0,0
