genero,segmento,valor,clientes,ranking
Feminino,Moda,353942.15,492,1
Feminino,Serviços,57453.6,2,2
Feminino,Joalheria,49588.06,16,3
Feminino,Calçados,22463.17,47,4
Feminino,Telefonia,13511.2,7,5
Masculino,Moda,97588.62,154,1
Masculino,Serviços,20234.15,1,2
Masculino,Telefonia,19251.239999999998,6,3
Masculino,Joalheria,16311.0,4,4
Masculino,Calçados,12110.369999999999,21,5
Outro,Moda,258.0,1,1
Outro,Calçados,199.99,1,2
Outro,Farmácias,67.79,1,3
Outro,Gastronomia,45.0,1,4
Outro,Beleza e Bem-estar,29.0,1,5
Nao Informado,Livrarias,210.5,1,1
Nao Informado,Joalheria,201.6,1,2
Nao Informado,Eletrodomésticos,51.97,1,3
Nao Informado,Gastronomia,17.5,1,4
