faixa_etaria,segmento,valor,clientes,ranking
Gen Z (1997-2012),Serviços,66860.15,2,1
Gen Z (1997-2012),Moda,44567.65,67,2
Gen Z (1997-2012),Eletrônicos,8799.0,1,3
Gen Z (1997-2012),Eletrodomésticos,4775.18,2,4
Gen Z (1997-2012),Gastronomia,3536.79,11,5
Millennials (1981-1996),Moda,225870.88,330,1
Millennials (1981-1996),Joalheria,31367.32,8,2
Millennials (1981-1996),Calçados,15819.439999999999,31,3
Millennials (1981-1996),Serviços,10827.6,1,4
Millennials (1981-1996),Telefonia,7125.0,5,5
Boomers (1946-1964),Moda,29927.89,48,1
Boomers (1946-1964),Calçados,7008.2699999999995,13,2
Boomers (1946-1964),Joalheria,2129.0,3,3
Boomers (1946-1964),Gastronomia,1344.3600000000001,10,4
Boomers (1946-1964),Casa e Decoração,1172.56,3,5
Gen X (1965-1980),Moda,151241.95,201,1
Gen X (1965-1980),Joalheria,31298.34,9,2
Gen X (1965-1980),Telefonia,23639.44,7,3
Gen X (1965-1980),Calçados,9213.16,20,4
Gen X (1965-1980),Casa e Decoração,4498.43,5,5
Nao Informado,Eletrodomésticos,51.97,1,1
Nao Informado,Gastronomia,17.5,1,2
Silent (antes 1946),Moda,180.4,1,1
