Metrica,High Spenders,Demais Clientes
Qtd Clientes,253.0,2273.0
Valor Total (R$),1206044.63,1293217.8
Ticket Medio (R$),4766.974822134387,568.9475582930048
Freq Media Compras,3.300395256916996,1.534095908490981
Idade Media,43.01796407185629,42.911104718066746
% Feminino,73.51778656126481,73.25120985481742
% Masculino,26.48221343873518,26.35283765948086
