faixa_etaria,segmento,valor,clientes,ranking
25-39 (Millennials),Moda,558575.86,720,1
25-39 (Millennials),Joalheria,68354.37,18,2
25-39 (Millennials),Serviços,66860.15,2,3
25-39 (Millennials),Calçados,37892.25,86,4
25-39 (Millennials),Telefonia,22501.0,10,5
40-54 (Gen X),Moda,644400.48,819,1
40-54 (Gen X),Joalheria,163891.74,28,2
40-54 (Gen X),Telefonia,145421.71,32,3
40-54 (Gen X),Serviços,68574.05,3,4
40-54 (Gen X),Calçados,56477.63,112,5
55-69 (Boomers),Moda,203142.93,250,1
55-69 (Boomers),Joalheria,46843.3,9,2
55-69 (Boomers),Serviços,27374.57,2,3
55-69 (Boomers),Calçados,20170.059999999998,37,4
55-69 (Boomers),Telefonia,20074.0,7,5
16-24 (Gen Z),Moda,58912.33,76,1
16-24 (Gen Z),Joalheria,3040.0,1,2
16-24 (Gen Z),Calçados,1312.28,3,3
16-24 (Gen Z),Beleza e Bem-estar,1104.91,4,4
16-24 (Gen Z),Presentes e Acessórios,479.7,3,5
70+ (Silent),Moda,23319.52,35,1
70+ (Silent),Joalheria,8255.0,2,2
70+ (Silent),Calçados,4397.79,7,3
70+ (Silent),Infantil,1313.67,2,4
70+ (Silent),Beleza e Bem-estar,1158.0,1,5
Nao Informado,Moda,862.49,2,1
Nao Informado,Livrarias,112.42,1,2
Nao Informado,Gastronomia,54.4,1,3
Nao Informado,Eletrodomésticos,51.97,1,4
Nao Informado,Beleza e Bem-estar,22.9,1,5
