faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),78,12,0,0
25-39 (Millennials),695,253,3,2
40-54 (Gen X),806,292,1,1
55-69 (Boomers),241,88,0,0
70+ (Silent),31,21,0,0
Nao Informado,0,0,2,0
