segmento,valor,clientes
Moda,1118127.5,1804
Joalheria,594295.72,129
Gastronomia,243406.48,1279
Calçados,177530.44,502
Telefonia,168579.63,56
Esportes,160168.5,394
Beleza e Bem-estar,144500.2,412
Casa e Decoração,142450.6,474
Presentes e Acessórios,128533.76,482
Ótica,108663.78,119
Infantil,97275.8,370
Serviços,87601.68000000001,238
Eletrônicos,82140.53,63
Moda Feminina,75915.83,119
Papelaria,73789.03,402
Eletrodomésticos,62604.35,34
Farmácias,50418.91,293
Livrarias,44964.04,365
Pets,26968.25,182
Kids,12027.35,118
