segmento,valor,clientes
Moda,667402.33,919
Esportes,107247.64,262
Calçados,107108.65,278
Joalheria,106404.62,51
Beleza e Bem-estar,104876.1,312
Gastronomia,92423.61,564
Telefonia,87345.92,22
Eletrodomésticos,80330.57,169
Ótica,66941.32,47
Eletrônicos,61922.8,29
Moda Feminina,40758.25,78
Infantil,31406.33,98
Casa e Decoração,25435.28,66
Papelaria,20037.64,121
Pets,13917.79,74
Presentes e Acessórios,13772.4,65
Livrarias,13493.7,105
Farmácias,11128.02,101
Serviços,10927.6,263
Vestuário feminino,5546.8,10
