cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
152,1085.58,12,4,Garten Shopping,Feminino,Gastronomia,4,5,5,14,VIP
164,361.72,2,7,Nações Shopping,Feminino,Gastronomia,4,2,3,9,Potencial
168,1092.71,19,3,Continente Shopping,Feminino,Gastronomia,4,5,5,14,VIP
169,841.37,14,3,Continente Shopping,Masculino,Gastronomia,4,5,4,13,VIP
195,12.98,1,17,Continente Shopping,Feminino,Eletrodomésticos,2,1,1,4,Pontual
235,277.19,4,15,Continente Shopping,Masculino,Gastronomia,2,3,3,8,Potencial
241,649.6,1,24,Balneário Shopping,Feminino,Moda,1,1,3,5,Pontual
266,1343.02,17,4,Norte Shopping,Feminino,Livrarias,4,5,5,14,VIP
272,1151.84,14,2,Norte Shopping,Feminino,Calçados,5,5,5,15,VIP
277,69.9,1,22,Neumarkt Shopping,Feminino,Pets,1,1,1,3,Pontual
375,393.3,12,3,Garten Shopping,Feminino,Gastronomia,5,5,3,13,VIP
382,1924.04,16,0,Balneário Shopping,Feminino,Gastronomia,5,5,5,15,VIP
424,423.19,3,14,Continente Shopping,Masculino,Gastronomia,2,2,3,7,Potencial
568,422.35,5,3,Neumarkt Shopping,Feminino,Gastronomia,4,4,3,11,Premium
601,73.89,2,14,Continente Shopping,Masculino,Gastronomia,2,1,1,4,Pontual
610,926.72,11,3,Neumarkt Shopping,Masculino,Gastronomia,4,5,4,13,VIP
617,1.0,1,13,Garten Shopping,Feminino,Presentes e Acessórios,3,1,1,5,Pontual
649,238.70000000000002,4,16,Continente Shopping,Masculino,Gastronomia,2,3,2,7,Potencial
770,73.97,1,9,Norte Shopping,Masculino,Supermercado,3,1,1,5,Pontual
1213,153.0,2,21,Continente Shopping,Feminino,Gastronomia,2,2,2,6,Pontual
1355,628.5699999999999,4,0,Norte Shopping,Masculino,Calçados,5,3,3,11,Premium
1449,465.6,2,0,Garten Shopping,Masculino,Moda,5,2,4,11,Premium
1533,114.8,1,12,Continente Shopping,Feminino,Gastronomia,3,1,1,5,Pontual
1755,249.9,1,26,Garten Shopping,Masculino,Calçados,1,1,3,5,Pontual
1896,74.9,1,13,Nações Shopping,Masculino,Gastronomia,3,1,1,5,Pontual
1916,79.8,1,26,Garten Shopping,Feminino,Papelaria,1,1,1,3,Pontual
2035,239.64,4,23,Garten Shopping,Masculino,Gastronomia,1,3,2,6,Pontual
2213,44.89,2,11,Neumarkt Shopping,Masculino,Eletrodomésticos,3,2,1,6,Pontual
2234,273.4,3,15,Neumarkt Shopping,Masculino,Gastronomia,2,3,2,7,Potencial
2374,7943.91,23,8,Neumarkt Shopping,Masculino,Gastronomia,3,5,5,13,VIP
2945,644.18,5,30,Garten Shopping,Feminino,Papelaria,1,4,4,9,Potencial
3036,409.11,2,13,Balneário Shopping,Masculino,Gastronomia,3,2,2,7,Potencial
3307,63.4,1,15,Norte Shopping,Feminino,Moda,2,1,1,4,Pontual
3596,178.0,2,21,Garten Shopping,Feminino,Gastronomia,2,2,2,6,Pontual
3801,721.8299999999999,4,16,Garten Shopping,Feminino,Gastronomia,2,3,4,9,Potencial
3828,918.64,8,0,Norte Shopping,Feminino,Gastronomia,5,4,4,13,VIP
3992,565.47,5,15,Garten Shopping,Masculino,Gastronomia,3,4,4,11,Premium
4430,297.97,1,1,Continente Shopping,Feminino,Moda,5,1,3,9,Potencial
4623,1146.77,13,4,Neumarkt Shopping,Feminino,Gastronomia,4,5,4,13,VIP
4682,595.17,10,6,Nações Shopping,Feminino,Gastronomia,4,5,4,13,VIP
4683,39.9,1,10,Continente Shopping,Feminino,Infantil,3,1,1,5,Pontual
4866,399.85,5,19,Continente Shopping,Feminino,Moda,2,4,3,9,Potencial
4989,172.3,6,5,Nações Shopping,Masculino,Gastronomia,4,5,2,11,Premium
5097,348.46,3,8,Neumarkt Shopping,Feminino,Farmácias,3,3,2,8,Potencial
5114,468.85,5,10,Nações Shopping,Feminino,Esportes,3,4,4,11,Premium
5266,82.36,2,12,Continente Shopping,Masculino,Eletrodomésticos,3,2,1,6,Pontual
5322,1402.26,25,5,Neumarkt Shopping,Feminino,Gastronomia,4,5,5,14,VIP
5852,4.05,1,29,Continente Shopping,Feminino,Pets,1,1,1,3,Pontual
6122,166.68,2,22,Norte Shopping,Masculino,Casa e Decoração,2,2,2,6,Pontual
6194,409.4,1,28,Continente Shopping,Feminino,Papelaria,1,1,3,5,Pontual
