quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,3.0,1.0,108.93400000000001,Garten Shopping
40%,8.0,2.0,247.94000000000005,Garten Shopping
60%,15.0,4.0,451.442,Garten Shopping
80%,22.0,6.0,919.038,Garten Shopping
20%,2.0,1.0,113.47,Nações Shopping
40%,8.0,2.0,207.86,Nações Shopping
60%,18.0,3.0,428.86199999999997,Nações Shopping
80%,24.400000000000006,5.0,733.0960000000001,Nações Shopping
20%,2.0,2.0,119.918,Continente Shopping
40%,7.0,3.0,262.914,Continente Shopping
60%,13.0,4.0,520.89,Continente Shopping
80%,21.0,8.0,1062.756,Continente Shopping
20%,4.0,1.0,199.756,Balneário Shopping
40%,9.0,2.0,468.83000000000004,Balneário Shopping
60%,15.0,4.0,865.6899999999999,Balneário Shopping
80%,22.0,6.0,1565.0020000000015,Balneário Shopping
20%,2.0,1.0,122.15600000000002,Norte Shopping
40%,7.0,2.0,315.636,Norte Shopping
60%,14.0,4.0,642.2360000000001,Norte Shopping
80%,22.0,8.0,1094.8580000000002,Norte Shopping
20%,2.0,1.0,174.614,Neumarkt Shopping
40%,6.599999999999994,2.0,368.436,Neumarkt Shopping
60%,13.0,4.0,650.9260000000002,Neumarkt Shopping
80%,21.0,7.0,1224.0779999999997,Neumarkt Shopping
