faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),4953,2642,1,24
25-39 (Millennials),26256,14218,3,38
40-54 (Gen X),24596,13282,1,14
55-69 (Boomers),7679,4310,1,6
70+ (Silent),1224,744,1,0
Nao Informado,29,14,35,0
