shopping,sigla,transacoes,clientes,valor_total,ticket_medio,idade_media,threshold_hs,qtd_high_spenders
Continente Shopping,CS,94746,19549,26399252.69,1350.414481047624,40.80678035540534,2920.776000000003,1955
Balneário Shopping,BS,121894,28385,59665082.410000004,2101.993391227761,41.62681095562057,4774.3040000000055,2839
Neumarkt Shopping,NK,98533,18977,30203296.669999998,1591.5738351688885,42.25549754785635,3514.854000000004,1898
Norte Shopping,NR,45235,11380,11925384.06,1047.9247855887522,39.87573652273327,2383.0900000000015,1138
Garten Shopping,GS,89155,20019,29174474.669999994,1457.3392612018579,40.58372894907801,2963.7400000000002,2002
Nações Shopping,NS,25222,6466,6438245.29,995.7075920197958,38.51262196066285,2195.66,647
