dia_semana,valor,transacoes
Domingo,3983440.24,16305
Quarta,1809332.85,7304
Quinta,2242257.22,8690
Sabado,3616402.78,13589
Segunda,2207602.11,8226
Sexta,2228302.03,8618
Terca,1706331.01,6600
