segmento,valor,clientes
Moda,7562039.88,8199
Gastronomia,1608495.08,4990
Beleza e Bem-estar,1309685.24,3020
Joalheria,1032797.22,710
Casa e Decoração,922775.32,1724
Esportes,884204.65,1779
Calçados,876752.1,2150
Eletrônicos,632556.81,143
Calçados Femininos,575859.72,594
Infantil,468679.22000000003,1442
Farmácias,314045.72,1425
Pets,233269.82,948
Não informado,215919.4,1267
Livrarias,197478.5,1176
Ótica,185420.41,198
Hub da Saúde,176674.11000000002,49
Presentes e Acessórios,158344.37,330
Outros,120455.01,385
Eletrodomésticos,93742.38,742
Moda Feminina,72180.38,171
