faixa_etaria,qtd_clientes,valor_total,pct_clientes
Boomers (1946-1964),636,756748.13,4.467547063781961
Gen X (1965-1980),3324,4688054.32,23.349255408822703
Gen Z (1997-2012),2896,2783642.74,20.342792919359372
Millennials (1981-1996),7340,9536965.46,51.559426805282385
Nao Informado,24,13231.32,0.1685866816521495
Silent (antes 1946),16,15026.27,0.112391121101433
