faixa_etaria,segmento,valor,clientes,ranking
Millennials (1981-1996),Moda,5702429.36,8057,1
Millennials (1981-1996),Joalheria,1452145.36,681,2
Millennials (1981-1996),Beleza e Bem-estar,1186185.89,2977,3
Millennials (1981-1996),Calçados,1128622.07,2636,4
Millennials (1981-1996),Casa e Decoração,885151.17,1675,5
Gen X (1965-1980),Moda,3922540.94,4970,1
Gen X (1965-1980),Joalheria,927200.29,577,2
Gen X (1965-1980),Telefonia,812838.3,237,3
Gen X (1965-1980),Calçados,792214.3,1691,4
Gen X (1965-1980),Beleza e Bem-estar,752751.29,1986,5
Gen Z (1997-2012),Moda,1394606.26,2177,1
Gen Z (1997-2012),Joalheria,397911.79,286,2
Gen Z (1997-2012),Beleza e Bem-estar,308685.3,920,3
Gen Z (1997-2012),Calçados,284034.68,692,4
Gen Z (1997-2012),Eletrônicos,176078.0,91,5
Boomers (1946-1964),Moda,1057647.77,1334,1
Boomers (1946-1964),Joalheria,343242.77,143,2
Boomers (1946-1964),Casa e Decoração,253350.06,400,3
Boomers (1946-1964),Telefonia,239754.81,76,4
Boomers (1946-1964),Calçados,226101.52,452,5
Silent (antes 1946),Moda,43299.479999999996,41,1
Silent (antes 1946),Telefonia,21242.28,10,2
Silent (antes 1946),Casa e Decoração,7709.17,14,3
Silent (antes 1946),Calçados,6959.82,17,4
Silent (antes 1946),Joalheria,6545.0,5,5
Nao Informado,Telefonia,1999.0,1,1
Nao Informado,Moda,999.37,2,2
Nao Informado,Beleza e Bem-estar,475.75,2,3
Nao Informado,Infantil,94.99,1,4
Nao Informado,Livrarias,49.9,1,5
