genero,segmento,valor,clientes,ranking
Feminino,Moda,7573355.64,11017,1
Feminino,Beleza e Bem-estar,1945212.34,4936,2
Feminino,Joalheria,1676511.6,1128,3
Feminino,Calçados,1632180.21,3941,4
Feminino,Casa e Decoração,1254509.33,2518,5
Masculino,Moda,4541545.7700000005,5545,1
Masculino,Joalheria,1446909.11,561,2
Masculino,Telefonia,1141021.79,324,3
Masculino,Calçados,805032.39,1543,4
Masculino,Esportes,726644.71,1479,5
Outro,Moda,6621.77,19,1
Outro,Joalheria,3244.5,2,2
Outro,Telefonia,2789.0,1,3
Outro,Presentes e Acessórios,1464.7,2,4
Outro,Beleza e Bem-estar,1010.04,6,5
Nao Informado,Joalheria,380.0,1,1
Nao Informado,Gastronomia,132.7,1,2
Nao Informado,Telefonia,25.0,1,3
