shopping_principal,qtd_clientes,valor_total,R_score_medio,F_score_medio,V_score_medio,score_total_medio,ticket_medio,vip_quintis,vip_valor_quintis,vip_ticket_quintis,premium_quintis,premium_valor_quintis,premium_ticket_quintis,potencial_quintis,potencial_valor_quintis,potencial_ticket_quintis,pontual_quintis,pontual_valor_quintis,pontual_ticket_quintis,pct_valor
Balneário Shopping,2238,3811263.79,3.0,3.0,3.0,9.0,1702.977564789991,418,2067723.92,4946.707942583732,528,1014790.43,1921.9515719696972,726,558425.34,769.180909090909,566,170324.1,300.9259717314488,23.65
Neumarkt Shopping,2360,3621391.8,3.0,3.0,3.0,9.0,1534.4880508474575,481,1938420.82,4029.980914760915,546,929385.33,1702.170934065934,664,555033.71,835.894141566265,669,198551.94,296.7891479820628,22.47
Continente Shopping,2724,3242064.05,3.0,3.0,3.0,9.0,1190.1850403817914,527,1593203.09,3023.155768500949,633,876145.0,1384.1153238546603,846,609125.14,720.0060756501182,718,163590.82,227.8423676880223,20.12
Norte Shopping,2249,2000953.49,3.0,3.0,3.0,9.0,889.7080880391285,394,914045.4400000001,2319.9122842639595,526,550450.1,1046.4830798479088,791,415984.03,525.896371681416,538,120473.92,223.929219330855,12.42
Garten Shopping,1456,1844957.52,3.0013736263736264,2.9986263736263736,2.9986263736263736,8.998626373626374,1267.1411538461539,283,878638.47,3104.7295759717313,349,558940.27,1601.5480515759314,421,300147.33,712.939026128266,403,107231.45,266.0830024813896,11.45
Nações Shopping,1574,1596279.57,3.0,3.0,3.0,9.0,1014.154745870394,280,754826.9,2695.8103571428574,391,469787.76,1201.503222506394,518,297917.4,575.1301158301159,385,73747.51,191.551974025974,9.9
