quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,6.0,1.0,192.26400000000004,Continente Shopping
40%,21.0,3.0,422.1360000000001,Continente Shopping
60%,37.0,5.0,832.8799999999999,Continente Shopping
80%,57.0,11.0,1654.9960000000005,Continente Shopping
20%,6.0,2.0,247.608,Neumarkt Shopping
40%,20.0,3.0,568.378,Neumarkt Shopping
60%,38.0,6.0,1078.2039999999997,Neumarkt Shopping
80%,58.0,13.0,2376.328,Neumarkt Shopping
20%,12.0,1.0,179.286,Norte Shopping
40%,27.0,2.0,356.754,Norte Shopping
60%,39.0,4.0,640.7719999999999,Norte Shopping
80%,52.0,7.0,1270.8220000000001,Norte Shopping
20%,7.0,1.0,177.31200000000004,Nações Shopping
40%,20.0,2.0,375.10200000000003,Nações Shopping
60%,37.0,4.0,649.2959999999996,Nações Shopping
80%,58.40000000000009,9.0,1429.034,Nações Shopping
20%,10.0,1.0,248.51600000000002,Balneário Shopping
40%,23.0,3.0,529.898,Balneário Shopping
60%,39.0,4.0,1006.7200000000001,Balneário Shopping
80%,60.0,9.0,2453.078,Balneário Shopping
20%,6.0,2.0,210.7,Garten Shopping
40%,17.0,3.0,491.03000000000003,Garten Shopping
60%,35.0,6.0,951.3,Garten Shopping
80%,59.0,11.0,1939.5700000000002,Garten Shopping
