cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
118,8551.53,9,0,Continente Shopping,Masculino,Gastronomia,5,4,5,14,VIP
151,465.28,12,0,Neumarkt Shopping,Masculino,Gastronomia,5,5,3,13,VIP
160,462.57,14,1,Norte Shopping,Feminino,Supermercado,5,5,3,13,VIP
164,1324.23,8,23,Nações Shopping,Feminino,Beleza e Bem-estar,3,4,4,11,Premium
168,1063.22,11,17,Continente Shopping,Feminino,Gastronomia,4,5,4,13,VIP
169,489.61,12,0,Continente Shopping,Masculino,Gastronomia,5,5,3,13,VIP
170,1180.9,4,8,Nações Shopping,Masculino,Casa e Decoração,5,3,4,12,Premium
174,315.42,3,81,Neumarkt Shopping,Masculino,Eletrônicos,1,2,2,5,Pontual
177,69.64,1,74,Nações Shopping,Feminino,Eletrodomésticos,1,1,1,3,Pontual
195,3491.25,16,5,Continente Shopping,Feminino,Gastronomia,5,5,5,15,VIP
235,719.5999999999999,2,12,Continente Shopping,Masculino,Moda,4,2,3,9,Potencial
241,2889.63,5,18,Balneário Shopping,Feminino,Moda,4,3,5,12,Premium
249,15.9,1,0,Norte Shopping,Masculino,Supermercado,5,1,1,7,Potencial
251,107.0,1,88,Continente Shopping,Feminino,Lazer,1,1,1,3,Pontual
259,1263.06,11,19,Neumarkt Shopping,Masculino,Beleza e Bem-estar,4,5,4,13,VIP
269,142.70999999999998,4,11,Continente Shopping,Masculino,Gastronomia,4,3,1,8,Potencial
272,461.74,3,37,Norte Shopping,Feminino,Calçados,3,2,3,8,Potencial
277,282.8,2,72,Neumarkt Shopping,Feminino,Gastronomia,1,2,2,5,Pontual
285,704.93,1,64,Balneário Shopping,Feminino,Casa e Decoração,1,1,3,5,Pontual
295,886.69,11,51,Nações Shopping,Feminino,Gastronomia,2,5,4,11,Premium
349,3192.66,26,3,Norte Shopping,Masculino,Gastronomia,5,5,5,15,VIP
360,719.6899999999999,4,15,Neumarkt Shopping,Feminino,Casa e Decoração,4,3,3,10,Premium
365,5038.71,10,24,Norte Shopping,Masculino,Supermercado,3,4,5,12,Premium
375,1458.81,23,18,Garten Shopping,Feminino,Gastronomia,4,5,4,13,VIP
395,845.61,6,14,Continente Shopping,Feminino,Moda,4,4,3,11,Premium
457,587.73,4,14,Norte Shopping,Feminino,Gastronomia,4,3,3,10,Premium
506,2032.82,30,0,Nações Shopping,Feminino,Eletrodomésticos,5,5,5,15,VIP
568,2024.1100000000001,41,0,Neumarkt Shopping,Feminino,Gastronomia,5,5,5,15,VIP
611,1982.8300000000002,6,1,Balneário Shopping,Feminino,Beleza e Bem-estar,5,4,5,14,VIP
617,2102.4700000000003,11,2,Garten Shopping,Feminino,Gastronomia,5,5,5,15,VIP
666,79.7,1,52,Continente Shopping,Masculino,Gastronomia,2,1,1,4,Pontual
725,3683.59,55,0,Continente Shopping,Feminino,Gastronomia,5,5,5,15,VIP
736,716.74,10,28,Neumarkt Shopping,Masculino,Gastronomia,3,4,3,10,Premium
740,1656.3,8,86,Neumarkt Shopping,Masculino,Gastronomia,1,4,4,9,Potencial
752,3343.39,54,1,Neumarkt Shopping,Masculino,Gastronomia,5,5,5,15,VIP
769,6579.36,23,9,Balneário Shopping,Feminino,Moda,4,5,5,14,VIP
770,430.76,6,24,Norte Shopping,Masculino,Eletrodomésticos,3,4,2,9,Potencial
901,756.49,3,4,Garten Shopping,Feminino,Esportes,5,2,3,10,Premium
986,447.39,12,35,Nações Shopping,Feminino,Eletrodomésticos,3,5,3,11,Premium
1010,1129.16,4,12,Neumarkt Shopping,Feminino,Gastronomia,4,3,4,11,Premium
1138,365.4,1,2,Balneário Shopping,Feminino,Moda,5,1,2,8,Potencial
1176,134.81,4,9,Norte Shopping,Masculino,Gastronomia,4,3,1,8,Potencial
1213,596.57,8,2,Continente Shopping,Feminino,Gastronomia,5,4,3,12,Premium
1224,1683.78,4,16,Nações Shopping,Feminino,Moda,4,3,4,11,Premium
1303,1008.9,7,36,Nações Shopping,Feminino,Moda,3,4,4,11,Premium
1318,1150.3200000000002,5,36,Balneário Shopping,Feminino,Esportes,3,3,4,10,Premium
1391,1268.7,5,37,Nações Shopping,Feminino,Esportes,3,3,4,10,Premium
1449,519.5,1,23,Garten Shopping,Masculino,Moda,3,1,3,7,Potencial
1470,768.6,12,57,Nações Shopping,Masculino,Gastronomia,2,5,3,10,Premium
1559,779.9,2,18,Nações Shopping,Feminino,Moda,4,2,3,9,Potencial
1603,161.99,2,68,Norte Shopping,Masculino,Esportes,1,2,1,4,Pontual
1753,88.7,1,32,Continente Shopping,Masculino,Gastronomia,3,1,1,5,Pontual
