shopping_principal,qtd_clientes,valor_total,ticket_medio,vip_hist,vip_valor_hist,vip_ticket_hist,premium_hist,premium_valor_hist,premium_ticket_hist,potencial_hist,potencial_valor_hist,potencial_ticket_hist,pontual_hist,pontual_valor_hist,pontual_ticket_hist,vip_periodo,vip_valor_periodo,vip_ticket_periodo,premium_periodo,premium_valor_periodo,premium_ticket_periodo,potencial_periodo,potencial_valor_periodo,potencial_ticket_periodo,pontual_periodo,pontual_valor_periodo,pontual_ticket_periodo,high_spenders,pct_valor
Balneário Shopping,2238,3811263.79,347.5819851057585,958,2980217.45,487.17183527050537,336,363315.18,301.6922853955405,360,275212.22,298.36703468089115,584,192518.94,175.33754126630325,536,2748619.42,692.7206262472911,362,512791.61,407.6729914639141,488,348877.04,290.91848112270094,852,200975.72,137.3760390848881,341,23.65
Neumarkt Shopping,2360,3621391.8,246.12879174726334,1031,2700353.21,285.15526219646205,397,421400.25,260.8400904678395,429,320554.98,238.14161274127954,503,179083.36000000002,161.3371877082461,545,2416684.06,414.91831290753805,456,644240.35,301.03533032205854,494,358515.92,239.0976866739713,865,201951.47,114.8521388961071,313,22.47
Continente Shopping,2724,3242064.05,251.2470662276557,900,2112371.78,329.7594049743685,468,488213.11,284.3609211378671,554,397324.27,243.0980732662974,802,244154.89,149.44675841041385,434,1856661.17,609.46045589863,496,694701.33,300.52543123206414,573,416638.74,231.97421237587326,1221,274062.81,112.94785664344755,240,20.12
Norte Shopping,2249,2000953.49,262.15406100026263,428,854274.97,353.068773870531,403,465439.14,300.9446958138722,493,373902.3,291.7742159078016,925,307337.08,187.4006995864505,243,889037.89,662.930917361294,336,474838.37,347.76949111200236,502,360378.74,307.6639721770119,1168,276698.49,134.5842527605338,122,12.42
Garten Shopping,1456,1844957.52,254.9477893055437,685,1402599.21,301.4129286583993,258,215964.98,273.14503076578313,227,143101.49,234.90428269599965,286,83291.84,143.15187058847584,281,1092166.68,553.3382542682825,277,391935.37,267.5398755988183,304,221756.66,234.55971328868546,594,139098.81,118.3522447792107,143,11.45
Nações Shopping,1574,1596279.57,219.10604707812084,380,853024.67,261.30143237417735,282,323814.82,260.6289687164602,369,254159.29,239.6106738534903,543,165280.79,154.07857452816776,217,842240.46,451.64274174575104,246,342179.33,292.34646445824905,338,232265.39,240.90082721067168,773,179594.39,120.98930567684076,102,9.9
