faixa_etaria,qtd_clientes,valor_total,pct_clientes
16-24 (Gen Z),137,75763.11,12.353471596032461
25-39 (Millennials),599,336585.99,54.01262398557258
40-54 (Gen X),308,219628.17,27.77276825969342
55-69 (Boomers),50,34759.55,4.508566275924256
70+ (Silent),4,1699.8200000000002,0.36068530207394045
Nao Informado,11,1843.41,0.9918845807033363
