segmento,valor,clientes
Moda,1875449.08,2989
Joalheria,519073.05,264
Calçados,509831.32,1164
Gastronomia,408156.06,1986
Esportes,274826.58,656
Beleza e Bem-estar,259502.22,1005
Moda Feminina,226502.5,357
Casa e Decoração,176896.93,530
Infantil,175396.30000000002,582
Presentes e Acessórios,168622.91,535
Ótica,142571.53,147
Papelaria,125050.28,596
Serviços,117813.85,282
Não informado,95476.99,108
Eletrodomésticos,88624.84,47
Farmácias,78922.65,445
Livrarias,76545.89,515
Eletrônicos,65646.4,80
Telefonia,65387.87,46
Pets,29987.61,217
