segmento,valor,clientes
Moda,70161315.8,45548
Joalheria,21291185.88,6599
Beleza e Bem-estar,16048903.83,22447
Calçados,12273777.63,17506
Moda Feminina,9260333.45,6278
Gastronomia,8247949.56,23742
Infantil,6536790.96,11684
Eletrônicos,6408245.38,2397
Esportes,5853255.63,9773
Casa e Decoração,5801884.75,5472
Ótica,4738347.16,3296
Presentes e Acessórios,4434298.03,9723
Telefonia,3122726.57,727
Calçados Femininos,2171372.92,3437
Livrarias,1517832.1300000001,7127
Eletrodomésticos,1410198.3,616
Serviços,676713.25,3437
Papelaria,411031.6,1788
Supermercado,337900.49,2541
Não informado,186222.16,273
