dia_semana,valor,transacoes
Domingo,18855766.23,68546
Quarta,10288473.31,37082
Quinta,10496503.97,37336
Sabado,17873421.38,64751
Segunda,13878483.11,48419
Sexta,12030058.56,42880
Terca,11276878.69,40443
