loja,valor,clientes
Outback SteakHouse,39437.909999999996,38
Renner,38054.37,127
C&A,32872.68,100
Colcci,27552.5,17
Centauro,20802.670000000002,55
Riachuelo,18975.49,68
Samsung,15101.0,6
Kings ,15036.76,14
Arezzo,12722.63,10
Live!,12449.64,12
Cassol Centerlar,10995.53,37
GrandVision by Fototica,10708.9,4
Me Linda,10068.57,55
Panvel Farmácias,9889.61,64
Pittol,9164.380000000001,26
Youcom,8558.56,23
Las Leñas Parrilla Uruguaya,8403.34,13
Livraria Catarinense ,8262.4,80
Cobasi,8042.2699999999995,53
Americanas,7939.02,94
