cliente_id,valor_periodo,frequencia,recencia_dias,shopping_principal,genero,segmento_principal,R_score,F_score,V_score,score_total,perfil_quintis
246122,244.3,4,17,Nações Shopping,Feminino,Gastronomia,1,4,1,6,Pontual
246123,918.9,2,17,Continente Shopping,Feminino,Calçados,1,3,4,8,Potencial
246124,326.96,1,17,Norte Shopping,Masculino,Ótica,1,1,2,4,Pontual
246127,699.99,1,16,Balneário Shopping,Masculino,Esportes,1,1,3,5,Pontual
246128,978.97,2,17,Balneário Shopping,Masculino,Eletrodomésticos,1,3,4,8,Potencial
246129,4084.19,4,17,Garten Shopping,Feminino,Moda,1,4,5,10,Premium
246133,558.1800000000001,3,12,Neumarkt Shopping,Masculino,Calçados,2,4,3,9,Potencial
246134,863.25,8,16,Balneário Shopping,Feminino,Gastronomia,1,5,4,10,Premium
246135,348.97,1,17,Neumarkt Shopping,Masculino,Moda,1,1,2,4,Pontual
246136,319.97,1,17,Norte Shopping,Feminino,Calçados,1,1,2,4,Pontual
246137,348.0,1,17,Balneário Shopping,Feminino,Beleza e Bem-estar,1,1,2,4,Pontual
246138,585.9,2,17,Balneário Shopping,Feminino,Casa e Decoração,1,3,3,7,Potencial
246139,590.0,1,17,Balneário Shopping,Feminino,Calçados,1,1,3,5,Pontual
246140,2965.3,4,9,Neumarkt Shopping,Feminino,Beleza e Bem-estar,3,4,5,12,Premium
246141,2693.6,7,16,Balneário Shopping,Feminino,Moda,1,5,5,11,Premium
246142,620.88,2,17,Continente Shopping,Masculino,Esportes,1,3,3,7,Potencial
246145,519.0,1,17,Continente Shopping,Feminino,Beleza e Bem-estar,1,1,3,5,Pontual
246146,368.0,1,17,Continente Shopping,Feminino,Moda,1,1,2,4,Pontual
246147,1747.61,3,17,Balneário Shopping,Masculino,Beleza e Bem-estar,1,4,5,10,Premium
246148,654.7,1,16,Neumarkt Shopping,Feminino,Moda,1,1,3,5,Pontual
246149,246.8,1,17,Nações Shopping,Feminino,Beleza e Bem-estar,1,1,1,3,Pontual
246154,1098.09,4,7,Neumarkt Shopping,Feminino,Beleza e Bem-estar,3,4,4,11,Premium
246156,159.99,2,17,Garten Shopping,Masculino,Casa e Decoração,1,3,1,5,Pontual
246157,848.91,9,6,Neumarkt Shopping,Feminino,Gastronomia,4,5,4,13,VIP
246158,4947.0,2,17,Neumarkt Shopping,Feminino,Eletrônicos,1,3,5,9,Potencial
246160,629.0600000000001,2,17,Balneário Shopping,Masculino,Gastronomia,1,3,3,7,Potencial
246161,2440.71,18,6,Balneário Shopping,Feminino,Gastronomia,4,5,5,14,VIP
246164,819.8,1,17,Continente Shopping,Masculino,Moda,1,1,3,5,Pontual
246165,319.70000000000005,2,17,Garten Shopping,Feminino,Moda,1,3,2,6,Pontual
246168,285.0,1,17,Garten Shopping,Masculino,Farmácias,1,1,1,3,Pontual
246169,1073.8899999999999,2,17,Continente Shopping,Feminino,Calçados,1,3,4,8,Potencial
246170,419.9,1,16,Nações Shopping,Masculino,Casa e Decoração,1,1,2,4,Pontual
246171,49.84,1,17,Norte Shopping,Feminino,Supermercado,1,1,1,3,Pontual
246174,1317.0,4,0,Neumarkt Shopping,Feminino,Moda,5,4,4,13,VIP
246175,369.9,1,17,Garten Shopping,Masculino,Moda,1,1,2,4,Pontual
246177,307.0,1,17,Balneário Shopping,Feminino,Moda,1,1,1,3,Pontual
246178,459.99,1,17,Balneário Shopping,Feminino,Esportes,1,1,2,4,Pontual
246180,287.95,2,17,Balneário Shopping,Feminino,Calçados,1,3,1,5,Pontual
246181,817.89,1,17,Garten Shopping,Feminino,Moda,1,1,3,5,Pontual
246184,319.96000000000004,2,17,Balneário Shopping,Feminino,Moda,1,3,2,6,Pontual
246186,1013.38,3,17,Balneário Shopping,Feminino,Beleza e Bem-estar,1,4,4,9,Potencial
246187,1025.83,2,4,Continente Shopping,Masculino,Esportes,4,3,4,11,Premium
246189,498.7,1,17,Nações Shopping,Masculino,Casa e Decoração,1,1,2,4,Pontual
246190,431.36,2,16,Continente Shopping,Feminino,Gastronomia,1,3,2,6,Pontual
246192,51.6,1,17,Balneário Shopping,Feminino,Moda,1,1,1,3,Pontual
246193,733.0,6,11,Continente Shopping,Masculino,Gastronomia,2,5,3,10,Premium
246197,589.95,4,17,Balneário Shopping,Feminino,Presentes e Acessórios,1,4,3,8,Potencial
246198,573.01,1,17,Nações Shopping,Feminino,Beleza e Bem-estar,1,1,3,5,Pontual
246199,369.97,1,17,Continente Shopping,Masculino,Moda,1,1,2,4,Pontual
246200,284.9,1,17,Neumarkt Shopping,Feminino,Calçados,1,1,1,3,Pontual
246203,402.09999999999997,2,17,Neumarkt Shopping,Feminino,Eletrodomésticos,1,3,2,6,Pontual
246205,1953.56,9,2,Norte Shopping,Masculino,Beleza e Bem-estar,5,5,5,15,VIP
246206,430.0,1,17,Balneário Shopping,Masculino,Ótica,1,1,2,4,Pontual
246207,742.63,3,5,Nações Shopping,Feminino,Beleza e Bem-estar,4,4,3,11,Premium
246210,5589.0,2,11,Continente Shopping,Masculino,Joalheria,2,3,5,10,Premium
246211,109.0,1,17,Balneário Shopping,Masculino,Beleza e Bem-estar,1,1,1,3,Pontual
246213,1917.8899999999999,3,12,Norte Shopping,Feminino,Calçados,2,4,5,11,Premium
246214,311.7,2,12,Nações Shopping,Feminino,Gastronomia,2,3,1,6,Pontual
246216,1299.7,1,17,Continente Shopping,Masculino,Moda,1,1,4,6,Pontual
246217,656.99,2,17,Garten Shopping,Masculino,Moda,1,3,3,7,Potencial
246222,269.9,1,17,Norte Shopping,Masculino,Moda,1,1,1,3,Pontual
246223,3324.83,6,1,Balneário Shopping,Feminino,Beleza e Bem-estar,5,5,5,15,VIP
246226,3995.61,5,14,Neumarkt Shopping,Masculino,Moda,2,5,5,12,Premium
246227,910.66,9,0,Garten Shopping,Feminino,Presentes e Acessórios,5,5,4,14,VIP
246228,766.85,3,11,Continente Shopping,Feminino,Beleza e Bem-estar,2,4,3,9,Potencial
246230,387.78,9,2,Neumarkt Shopping,Masculino,Gastronomia,5,5,2,12,Premium
246231,546.91,2,17,Garten Shopping,Masculino,Moda,1,3,3,7,Potencial
246233,149.98,1,17,Continente Shopping,Masculino,Moda,1,1,1,3,Pontual
246234,4872.799999999999,2,17,Nações Shopping,Masculino,Casa e Decoração,1,3,5,9,Potencial
246235,474.94,1,17,Garten Shopping,Feminino,Ótica,1,1,2,4,Pontual
246236,1058.78,4,2,Norte Shopping,Feminino,Moda,5,4,4,13,VIP
246238,939.9,1,17,Continente Shopping,Feminino,Moda,1,1,4,6,Pontual
246239,287.6,1,17,Neumarkt Shopping,Feminino,Beleza e Bem-estar,1,1,1,3,Pontual
246241,769.78,2,17,Balneário Shopping,Feminino,Moda,1,3,3,7,Potencial
246244,717.0,1,17,Continente Shopping,Feminino,Moda,1,1,3,5,Pontual
246246,653.07,2,17,Neumarkt Shopping,Masculino,Esportes,1,3,3,7,Potencial
246248,449.98,2,17,Garten Shopping,Feminino,Moda,1,3,2,6,Pontual
246253,63.9,1,17,Garten Shopping,Masculino,Livrarias,1,1,1,3,Pontual
246254,663.82,1,17,Continente Shopping,Feminino,Calçados,1,1,3,5,Pontual
246256,329.0,1,17,Balneário Shopping,Feminino,Beleza e Bem-estar,1,1,2,4,Pontual
246257,3168.3900000000003,6,4,Balneário Shopping,Masculino,Beleza e Bem-estar,4,5,5,14,VIP
246258,2039.58,3,17,Balneário Shopping,Feminino,Moda,1,4,5,10,Premium
246259,1691.69,5,7,Continente Shopping,Feminino,Moda Feminina,3,5,5,13,VIP
246260,419.89,2,17,Nações Shopping,Masculino,Calçados,1,3,2,6,Pontual
246261,330.79999999999995,3,11,Nações Shopping,Feminino,Beleza e Bem-estar,2,4,2,8,Potencial
246262,579.98,1,17,Continente Shopping,Feminino,Esportes,1,1,3,5,Pontual
246263,369.9,1,17,Balneário Shopping,Feminino,Calçados,1,1,2,4,Pontual
246265,1136.0,2,17,Continente Shopping,Masculino,Joalheria,1,3,4,8,Potencial
246267,305.95,1,17,Balneário Shopping,Feminino,Moda,1,1,1,3,Pontual
246269,743.23,2,17,Norte Shopping,Masculino,Casa e Decoração,1,3,3,7,Potencial
246270,1499.0,1,17,Norte Shopping,Feminino,Telefonia,1,1,4,6,Pontual
246272,1049.0,1,17,Continente Shopping,Masculino,Telefonia,1,1,4,6,Pontual
246273,1092.6,4,1,Balneário Shopping,Masculino,Infantil,5,4,4,13,VIP
246275,421.71,1,0,Neumarkt Shopping,Masculino,Eletrodomésticos,5,1,2,8,Potencial
246276,1416.52,3,17,Nações Shopping,Feminino,Beleza e Bem-estar,1,4,4,9,Potencial
246277,199.9,1,17,Garten Shopping,Feminino,Moda,1,1,1,3,Pontual
246278,554.3,1,17,Neumarkt Shopping,Feminino,Beleza e Bem-estar,1,1,3,5,Pontual
246279,876.88,3,17,Continente Shopping,Masculino,Moda,1,4,4,9,Potencial
246280,899.5999999999999,2,16,Norte Shopping,Masculino,Moda,1,3,4,8,Potencial
246281,1915.65,2,17,Continente Shopping,Masculino,Moda,1,3,5,9,Potencial
246282,2067.59,6,2,Continente Shopping,Feminino,Moda,5,5,5,15,VIP
246283,418.28999999999996,3,17,Continente Shopping,Feminino,Beleza e Bem-estar,1,4,2,7,Potencial
246284,1252.0,1,17,Balneário Shopping,Feminino,Moda,1,1,4,6,Pontual
246286,1769.67,4,17,Garten Shopping,Feminino,Moda,1,4,5,10,Premium
246287,19196.0,2,14,Continente Shopping,Feminino,Eletrônicos,2,3,5,10,Premium
246288,1652.5,1,17,Balneário Shopping,Masculino,Moda,1,1,5,7,Potencial
246289,29.9,1,17,Continente Shopping,Feminino,Moda,1,1,1,3,Pontual
246290,648.42,5,12,Balneário Shopping,Feminino,Gastronomia,2,5,3,10,Premium
246291,583.9499999999999,3,17,Neumarkt Shopping,Masculino,Casa e Decoração,1,4,3,8,Potencial
246292,2043.8,3,17,Norte Shopping,Masculino,Moda,1,4,5,10,Premium
246294,167.75,8,15,Nações Shopping,Feminino,Gastronomia,2,5,1,8,Potencial
246295,853.98,2,17,Continente Shopping,Feminino,Moda,1,3,4,8,Potencial
246298,1599.0,2,17,Norte Shopping,Masculino,Eletrodomésticos,1,3,5,9,Potencial
246299,449.37,1,17,Balneário Shopping,Masculino,Moda,1,1,2,4,Pontual
246300,1206.5,5,17,Continente Shopping,Feminino,Moda,1,5,4,10,Premium
246301,1101.1,3,17,Garten Shopping,Feminino,Presentes e Acessórios,1,4,4,9,Potencial
246302,554.3000000000001,3,3,Neumarkt Shopping,Feminino,Livrarias,4,4,3,11,Premium
246303,13922.380000000001,4,1,Balneário Shopping,Masculino,Moda,5,4,5,14,VIP
246305,709.57,6,17,Balneário Shopping,Masculino,Moda,1,5,3,9,Potencial
246306,2304.3,4,16,Continente Shopping,Feminino,Moda,1,4,5,10,Premium
246307,673.78,2,17,Continente Shopping,Masculino,Moda,1,3,3,7,Potencial
246308,449.97,3,11,Balneário Shopping,Feminino,Beleza e Bem-estar,2,4,2,8,Potencial
246310,490.0,1,5,Balneário Shopping,Feminino,Calçados,4,1,2,7,Potencial
246311,243.1,2,17,Balneário Shopping,Feminino,Infantil,1,3,1,5,Pontual
246312,517.87,3,10,Norte Shopping,Masculino,Pets,3,4,3,10,Premium
246313,298.0,1,17,Balneário Shopping,Feminino,Beleza e Bem-estar,1,1,1,3,Pontual
246314,692.5,1,17,Balneário Shopping,Masculino,Beleza e Bem-estar,1,1,3,5,Pontual
246316,8317.28,6,17,Balneário Shopping,Feminino,Telefonia,1,5,5,11,Premium
246318,659.4,2,10,Balneário Shopping,Feminino,Beleza e Bem-estar,3,3,3,9,Potencial
246321,1099.3899999999999,4,14,Balneário Shopping,Feminino,Moda,2,4,4,10,Premium
246323,329.0,1,17,Norte Shopping,Masculino,Beleza e Bem-estar,1,1,2,4,Pontual
246324,499.9,1,17,Nações Shopping,Feminino,Calçados Femininos,1,1,2,4,Pontual
246325,343.54,4,17,Norte Shopping,Feminino,Eletrodomésticos,1,4,2,7,Potencial
246327,1698.0,1,17,Continente Shopping,Masculino,Moda,1,1,5,7,Potencial
246328,4250.34,10,0,Balneário Shopping,Feminino,Gastronomia,5,5,5,15,VIP
246329,983.29,6,9,Continente Shopping,Feminino,Gastronomia,3,5,4,12,Premium
246330,154.0,1,17,Garten Shopping,Masculino,Gastronomia,1,1,1,3,Pontual
246331,4031.2000000000003,4,6,Neumarkt Shopping,Feminino,Beleza e Bem-estar,4,4,5,13,VIP
246332,499.98,1,17,Continente Shopping,Feminino,Calçados,1,1,2,4,Pontual
246334,589.5,1,17,Balneário Shopping,Feminino,Casa e Decoração,1,1,3,5,Pontual
246335,829.9300000000001,2,8,Nações Shopping,Feminino,Moda,3,3,4,10,Premium
246337,342.0,1,17,Continente Shopping,Masculino,Joalheria,1,1,2,4,Pontual
246340,531.47,2,17,Garten Shopping,Feminino,Moda,1,3,3,7,Potencial
246341,123.2,2,5,Norte Shopping,Masculino,Pets,4,3,1,8,Potencial
246342,389.98,1,17,Continente Shopping,Masculino,Moda,1,1,2,4,Pontual
246343,39.98,1,17,Balneário Shopping,Feminino,Gastronomia,1,1,1,3,Pontual
246345,1279.52,2,17,Norte Shopping,Masculino,Moda,1,3,4,8,Potencial
246346,1322.82,1,17,Garten Shopping,Masculino,Moda,1,1,4,6,Pontual
246347,307.87,1,17,Garten Shopping,Feminino,Moda,1,1,1,3,Pontual
246348,149.9,1,17,Balneário Shopping,Masculino,Moda Feminina,1,1,1,3,Pontual
246349,629.2,1,17,Nações Shopping,Masculino,Moda,1,1,3,5,Pontual
246350,130.0,1,17,Balneário Shopping,Feminino,Joalheria,1,1,1,3,Pontual
246351,818.9,8,16,Continente Shopping,Masculino,Infantil,1,5,3,9,Potencial
246352,299.89,2,17,Garten Shopping,Masculino,Calçados,1,3,1,5,Pontual
246353,2997.1,4,16,Nações Shopping,Feminino,Calçados Femininos,1,4,5,10,Premium
246354,259.99,1,17,Continente Shopping,Feminino,Esportes,1,1,1,3,Pontual
246355,1624.7,2,17,Balneário Shopping,Feminino,Moda,1,3,5,9,Potencial
246356,2547.9,3,5,Balneário Shopping,Feminino,Infantil,4,4,5,13,VIP
246357,1809.3,5,17,Balneário Shopping,Masculino,Gastronomia,1,5,5,11,Premium
246358,895.0,1,17,Balneário Shopping,Masculino,Moda,1,1,4,6,Pontual
246359,415.58000000000004,3,4,Continente Shopping,Feminino,Gastronomia,4,4,2,10,Premium
246361,478.89,3,17,Norte Shopping,Masculino,Esportes,1,4,2,7,Potencial
