quantil,recencia_dias,frequencia,valor_periodo,escopo
20%,2.0,1.0,309.684,Neumarkt Shopping
40%,6.0,2.0,518.6880000000001,Neumarkt Shopping
60%,10.0,3.0,843.3159999999999,Neumarkt Shopping
80%,14.0,5.0,1534.5300000000002,Neumarkt Shopping
20%,2.0,1.0,312.922,Garten Shopping
40%,6.0,2.0,499.34800000000007,Garten Shopping
60%,10.0,3.0,783.2299999999997,Garten Shopping
80%,15.0,4.0,1328.1020000000017,Garten Shopping
20%,2.0,1.0,230.96,Nações Shopping
40%,6.0,1.0,394.71600000000024,Nações Shopping
60%,11.0,2.0,615.4319999999998,Nações Shopping
80%,16.0,4.0,1087.740000000001,Nações Shopping
20%,2.0,1.0,319.97400000000005,Continente Shopping
40%,6.0,2.0,500.13800000000003,Continente Shopping
60%,10.0,3.0,799.1959999999999,Continente Shopping
80%,16.0,4.0,1428.2040000000002,Continente Shopping
20%,2.0,1.0,357.7200000000001,Balneário Shopping
40%,6.0,2.0,622.7160000000005,Balneário Shopping
60%,10.0,3.0,1019.728,Balneário Shopping
80%,15.0,4.0,1881.7600000000007,Balneário Shopping
20%,2.0,1.0,306.12,Norte Shopping
40%,6.0,1.0,469.786,Norte Shopping
60%,11.0,2.0,760.356,Norte Shopping
80%,16.40000000000009,4.0,1399.222,Norte Shopping
