segmento,valor,clientes
Eletrodomésticos,536300.47,508
Moda,454835.35,983
Casa e Decoração,286537.1,557
Serviços,236309.54,250
Eletrônicos,202312.82,79
Beleza e Bem-estar,181468.38,668
Supermercado,168016.45,470
Telefonia,162366.15,82
Calçados,153563.78,448
Esportes,153242.61000000002,349
Gastronomia,77430.09,633
Joalheria,76175.65,73
Ótica,49718.68,60
Infantil,49369.86,191
Outros,47510.0,26
Pets,35348.87,215
Papelaria,25517.7,159
Presentes e Acessórios,20973.98,159
Livrarias,19407.85,120
Gastronomia - Sorvetes,2328.0,67
