segmento,valor,clientes
Moda,453665.79,737
Gastronomia,166031.05,910
Calçados,98560.1,242
Esportes,88468.37,227
Eletrodomésticos,74954.55,325
Joalheria,69394.72,43
Beleza e Bem-estar,65581.07,340
Telefonia,62254.96,22
Ótica,46166.26,20
Farmácias,26925.83,192
Eletrônicos,22972.65,13
Papelaria,18536.86,188
Não informado,17717.78,26
Moda Feminina,15477.64,21
Presentes e Acessórios,14263.720000000001,54
Livrarias,13651.24,152
Pets,12990.79,80
Infantil,12014.82,49
Serviços,11075.89,77
Casa e Decoração,7297.71,66
