segmento,valor,clientes
Moda,3986849.83,4620
Beleza e Bem-estar,642477.33,1564
Gastronomia,552181.42,2580
Joalheria,552124.39,308
Calçados,415037.84,959
Esportes,385539.47000000003,768
Casa e Decoração,351371.96,780
Calçados Femininos,336182.27999999997,338
Eletrônicos,328559.3,70
Infantil,190178.53,603
Farmácias,124408.5,655
Pets,117814.43,529
Não informado,114653.23,760
Livrarias,83094.09,564
Hub da Saúde,78564.97,25
Ótica,75296.99,69
Presentes e Acessórios,74247.28,171
Outros,49252.1,137
Eletrodomésticos,24866.51,274
Papelaria,19892.989999999998,137
