segmento,valor,clientes
Moda,14572530.3,12144
Joalheria,4576605.83,1395
Beleza e Bem-estar,2399770.45,4731
Calçados,2108244.05,3340
Moda Feminina,1404775.58,898
Gastronomia,1252220.9,5358
Esportes,1126547.4000000001,1963
Eletrônicos,1054195.78,412
Casa e Decoração,948576.33,1041
Ótica,811431.53,488
Infantil,735037.77,1852
Presentes e Acessórios,635353.85,1727
Telefonia,564014.24,150
Calçados Femininos,560930.59,808
Eletrodomésticos,276336.34,114
Livrarias,251860.64,1482
Serviços,156739.44,1073
Supermercado,80340.26,783
Não informado,47745.71,75
Farmácias,17959.8,97
