faixa_etaria,qtd_hs,valor_total,ticket_medio,pct_hs
16-24 (Gen Z),54,264911.22,4905.763333333332,8.517350157728707
25-39 (Millennials),260,943815.47,3630.0595,41.00946372239748
40-54 (Gen X),280,1035113.32,3696.8332857142855,44.164037854889585
55-69 (Boomers),33,231047.12,7001.427878787878,5.205047318611988
70+ (Silent),6,24488.45,4081.4083333333333,0.9463722397476341
Nao Informado,1,9383.85,9383.85,0.15772870662460567
