sigla,segmento,valor,clientes
CS,Moda,305896.0,560
CS,Gastronomia,170706.0,806
CS,Calçados,75696.49,194
CS,Telefonia,74742.6,10
CS,Esportes,53300.53,170
CS,Beleza e Bem-estar,49321.2,296
CS,Joalheria,46929.71,28
CS,Eletrodomésticos,45129.58,290
CS,Eletrônicos,36236.5,8
CS,Infantil,23805.77,85
CS,Farmácias,21723.32,161
CS,Não informado,20907.71,19
CS,Presentes e Acessórios,14482.4,46
CS,Pets,14432.44,103
CS,Ótica,14020.1,10
CS,Moda Feminina,12187.34,16
CS,Livrarias,11632.130000000001,120
CS,Papelaria,10448.22,154
CS,Fast Food,5186.65,76
CS,Casa e Decoração,3846.21,35
BS,Moda,432723.15,564
BS,Joalheria,138878.46000000002,43
BS,Infantil,95847.99,245
BS,Gastronomia,95173.58,488
BS,Beleza e Bem-estar,88700.62,238
BS,Moda Feminina,79866.82,29
BS,Calçados,50728.159999999996,119
BS,Esportes,42854.6,92
BS,Presentes e Acessórios,36674.59,104
BS,Casa e Decoração,35694.38,69
BS,Calçados Femininos,32841.5,48
BS,Eletrônicos,28104.23,15
BS,Ótica,19425.0,9
BS,Livrarias,15831.92,121
BS,Farmácias,7427.84,56
BS,Eletrodomésticos,4568.7300000000005,4
BS,Suplementos esportivos,1237.89,4
BS,Serviços,1188.0,26
BS,Lazer,1034.9,13
BS,Não informado,429.0,1
NK,Moda,330920.34,607
NK,Gastronomia,150447.52,793
NK,Casa e Decoração,110618.48,340
NK,Beleza e Bem-estar,92767.24,324
NK,Calçados,91408.01,240
NK,Esportes,71146.28,152
NK,Joalheria,63279.67,62
NK,Moda Feminina,62328.61,60
NK,Infantil,60545.9,176
NK,Telefonia,37668.27,9
NK,Ótica,34328.3,20
NK,Pets,28630.19,122
NK,Livrarias,27788.06,184
NK,Farmácias,23678.06,167
NK,Eletrodomésticos,23257.67,285
NK,Papelaria,20906.62,172
NK,Presentes e Acessórios,20029.37,67
NK,Gastronomia - Restaurante,8823.61,29
NK,Eletrônicos,7411.8,13
NK,Lazer,3181.8,23
NR,Moda,124970.51,282
NR,Casa e Decoração,105766.94,283
NR,Supermercado,76361.01,268
NR,Gastronomia,59341.08,425
NR,Eletrodomésticos,58836.57,213
NR,Calçados,43915.5,131
NR,Beleza e Bem-estar,42122.52,201
NR,Eletrônicos,35680.11,20
NR,Esportes,27979.9,83
NR,Infantil,27183.66,105
NR,Joalheria,24686.39,15
NR,Presentes e Acessórios,22140.94,107
NR,Telefonia,18387.36,24
NR,Pets,14522.28,93
NR,Papelaria,8974.95,88
NR,Ótica,8423.78,14
NR,Fast Food,7437.349999999999,86
NR,Farmácias,7048.01,77
NR,Livrarias,6662.1,60
NR,Outros,4195.0,4
GS,Moda,245631.12,390
GS,Gastronomia,94042.72,460
GS,Casa e Decoração,47118.88,134
GS,Calçados,40720.86,114
GS,Joalheria,35199.53,19
GS,Infantil,34511.91,136
GS,Beleza e Bem-estar,25477.09,123
GS,Ótica,18036.98,10
GS,Esportes,17304.71,50
GS,Farmácias,14652.23,102
GS,Moda Feminina,14018.71,24
GS,Presentes e Acessórios,13849.4,59
GS,Lazer,11248.1,13
GS,Papelaria,8877.02,100
GS,Pets,7525.65,67
GS,Livrarias,7382.01,71
GS,Eletrodomésticos,5129.8,4
GS,Kids,3161.28,36
GS,Gastronomia - Sorvetes,2778.34,50
GS,Gastronomia - Restaurante,1862.5,34
NS,Moda,231712.94,357
NS,Gastronomia,122547.92,402
NS,Beleza e Bem-estar,57261.11,107
NS,Infantil,31580.98,104
NS,Esportes,29594.84,85
NS,Calçados,24961.34,98
NS,Casa e Decoração,17984.13,75
NS,Joalheria,17716.78,16
NS,Farmácias,14773.72,92
NS,Pets,9950.210000000001,57
NS,Livrarias,9607.66,74
NS,Calçados Femininos,9365.0,10
NS,Não informado,8340.11,20
NS,Eletrodomésticos,7097.55,90
NS,Papelaria,4115.75,17
NS,Outros,4041.0,15
NS,Presentes e Acessórios,4000.25,18
NS,Ótica,2318.05,4
NS,Gastronomia - Sorvetes,615.92,17
NS,Lazer,398.0,8
