faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),26890.91,102
Boomers (1946-1964),Noite (18h-22h),125295.62000000001,306
Boomers (1946-1964),Tarde (12h-18h),64333.87,366
Gen X (1965-1980),Manha (6h-12h),262730.32,1231
Gen X (1965-1980),Noite (18h-22h),523563.69,2374
Gen X (1965-1980),Tarde (12h-18h),458071.43,2727
Gen Z (1997-2012),Manha (6h-12h),125463.62,691
Gen Z (1997-2012),Noite (18h-22h),474198.56,2647
Gen Z (1997-2012),Tarde (12h-18h),394966.37,2571
Millennials (1981-1996),Manha (6h-12h),494367.24,2517
Millennials (1981-1996),Noite (18h-22h),1334852.25,7028
Millennials (1981-1996),Tarde (12h-18h),1187149.42,6915
Nao Informado,Manha (6h-12h),721.54,3
Nao Informado,Noite (18h-22h),3373.03,22
Nao Informado,Tarde (12h-18h),3131.4300000000003,24
Silent (antes 1946),Manha (6h-12h),4446.75,22
Silent (antes 1946),Noite (18h-22h),1208.8899999999999,4
Silent (antes 1946),Tarde (12h-18h),134.99,3
