faixa_etaria,Feminino,Masculino,Nao Informado,Outro
Boomers (1946-1964),42,28,0,0
Gen X (1965-1980),503,182,0,0
Gen Z (1997-2012),333,96,0,5
Millennials (1981-1996),1270,374,0,2
Nao Informado,1,0,1,0
Silent (antes 1946),1,0,0,0
