shopping,sigla,transacoes,clientes,valor_total,ticket_medio,idade_media,threshold_hs,qtd_high_spenders
Balneário Shopping,BS,3303,764,435137.99,569.5523429319371,38.076416337285906,1188.8680000000008,77
Continente Shopping,CS,1956,543,544007.77,1001.8559300184162,39.49539594843462,2266.6180000000013,55
Neumarkt Shopping,NK,2677,588,464411.36,789.8152380952381,41.31802721088435,1682.4120000000007,59
Garten Shopping,GS,937,286,146515.11000000002,512.2905944055944,38.12237762237762,1093.495,29
Norte Shopping,NR,1941,482,294160.44,610.2913692946058,38.94802494802495,1375.559000000001,49
Nações Shopping,NS,864,278,115925.53,416.998309352518,37.07553956834533,843.3730000000002,28
