faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),503.33885906040274,227.69793103448276,0.0,618.625
25-39 (Millennials),630.0275715695954,634.0343137254902,0.0,426.32
40-54 (Gen X),851.146241299304,668.2668641114982,0.0,0.0
55-69 (Boomers),970.5263963963964,546.2481132075472,0.0,0.0
70+ (Silent),1546.0872727272726,861.0625,0.0,0.0
Nao Informado,67.7125,25.9,48.0,0.0
