dia_semana,valor,transacoes
Domingo,18471796.31,61397
Quarta,11013036.53,32123
Quinta,10889218.59,33905
Sabado,18480593.16,58832
Segunda,14176932.47,42172
Sexta,12461436.7,38864
Terca,12639940.23,36608
