loja,valor,clientes
Havan,4577951.83,7087
Casas Bahia,2824501.72,1379
Magazine Luiza,2721123.68,1182
Pittol,2621591.27,6203
Atacadão,2492133.0,4407
Samsung,2067941.34,628
Renner,2040904.27,4773
Centauro,1729141.21,3514
Riachuelo,1680440.21,4494
CVC,1192819.88,131
Idéli.oui,1129376.38,2093
Vivara,708776.07,519
Claro,655454.27,262
NXT Eletric,634812.02,84
JCanedo,605282.77,753
Superlegal Brinquedos,570813.59,1844
Polo Wear,537839.48,1776
Cobasi,534121.62,2431
Game Mania,523663.3,258
Paquetá,519431.85000000003,1406
