dia_semana,valor,transacoes
Domingo,10585373.94,24990
Quarta,6592502.51,14842
Quinta,7297166.58,16492
Sabado,8953302.56,21244
Segunda,9818379.31,21191
Sexta,7496258.52,17155
Terca,8182492.93,18254
