faixa_etaria,Feminino,Masculino,Outro
Boomers (1946-1964),887795.01,569349.46,459.97
Gen X (1965-1980),3649554.73,1526626.6,2089.05
Gen Z (1997-2012),1108527.21,542394.44,2608.5800000000004
Millennials (1981-1996),5323147.65,2522213.54,2468.12
Silent (antes 1946),54073.66,8246.25,0.0
