faixa_etaria,periodo_dia,valor,transacoes
Boomers (1946-1964),Manha (6h-12h),184153.64,539
Boomers (1946-1964),Noite (18h-22h),740370.11,1494
Boomers (1946-1964),Tarde (12h-18h),533080.69,1628
Gen X (1965-1980),Manha (6h-12h),899431.6,3121
Gen X (1965-1980),Noite (18h-22h),2256848.58,7421
Gen X (1965-1980),Tarde (12h-18h),2021990.2,6952
Gen Z (1997-2012),Manha (6h-12h),229375.49,944
Gen Z (1997-2012),Noite (18h-22h),804462.9,2946
Gen Z (1997-2012),Tarde (12h-18h),619691.84,2387
Millennials (1981-1996),Manha (6h-12h),1569853.15,5019
Millennials (1981-1996),Noite (18h-22h),3396186.26,12166
Millennials (1981-1996),Tarde (12h-18h),2881789.9,10968
Silent (antes 1946),Manha (6h-12h),37469.11,49
Silent (antes 1946),Noite (18h-22h),11597.67,41
Silent (antes 1946),Tarde (12h-18h),13253.130000000001,27
