faixa_etaria,Feminino,Masculino,Outro
16-24 (Gen Z),779.9540773286467,833.2016296296297,187.54000000000002
25-39 (Millennials),912.6114272366269,936.7401718213058,1175.405
40-54 (Gen X),1060.3867580008766,999.3038250840942,2089.05
55-69 (Boomers),1203.8632332563511,1071.365403508772,0.0
70+ (Silent),1320.5033165829145,4113.054523809524,459.97
Nao Informado,1388.6633333333332,0.0,0.0
