sigla,genero,qtd_clientes,pct_clientes,valor_total
CS,Feminino,2192,66.56544184634072,1941943.5699999998
CS,Masculino,1098,33.34345581536593,974461.15
CS,Outro,3,0.09110233829334953,441.06
BS,Feminino,2991,71.8817591925018,4047430.0000000005
BS,Masculino,1170,28.118240807498196,1490826.39
NK,Masculino,996,31.19323520200438,822579.98
NK,Feminino,2196,68.77544628875665,1918065.84
NK,Outro,1,0.03131850923896023,2188.8
NR,Masculino,560,35.85147247119078,452480.81
NR,Feminino,1000,64.02048655569781,758198.57
NR,Outro,2,0.12804097311139565,2177.54
GS,Feminino,1960,68.50751485494582,1739981.25
GS,Masculino,899,31.422579517651172,1117612.3399999999
GS,Outro,2,0.06990562740300593,2818.32
NS,Feminino,919,67.22750548646673,617479.03
NS,Masculino,448,32.77249451353328,310869.62
