shopping,perfil_historico,ranking,segmento,valor,pct_valor,cupons,clientes
Balneário Shopping,Pontual,1,Moda,492510.1,39.87,1694,1246
Balneário Shopping,Pontual,2,Gastronomia,162969.68,13.19,1239,787
Balneário Shopping,Pontual,3,Beleza e Bem-estar,155639.4,12.6,680,573
Balneário Shopping,Pontual,4,Calçados,119756.26,9.69,407,367
Balneário Shopping,Pontual,5,Esportes,71237.68000000001,5.77,223,211
Balneário Shopping,Pontual,6,Infantil,57157.97,4.63,233,202
Balneário Shopping,Pontual,7,Joalheria,51937.24,4.2,110,104
Balneário Shopping,Pontual,8,Presentes e Acessórios,51797.6,4.19,202,184
Balneário Shopping,Pontual,9,Ótica,38755.69,3.14,77,76
Balneário Shopping,Pontual,10,Moda Feminina,33624.31,2.72,91,82
Balneário Shopping,Potencial,1,Moda,1199307.14,44.67,2846,1649
Balneário Shopping,Potencial,2,Beleza e Bem-estar,309005.76,11.51,1027,717
Balneário Shopping,Potencial,3,Calçados,247916.12,9.23,611,507
Balneário Shopping,Potencial,4,Gastronomia,180285.86,6.71,1584,830
Balneário Shopping,Potencial,5,Esportes,147889.41,5.51,374,310
Balneário Shopping,Potencial,6,Joalheria,133489.02,4.97,156,137
Balneário Shopping,Potencial,7,Moda Feminina,131545.94,4.9,187,167
Balneário Shopping,Potencial,8,Infantil,118299.51000000001,4.41,374,307
Balneário Shopping,Potencial,9,Ótica,109735.94,4.09,117,105
Balneário Shopping,Potencial,10,Presentes e Acessórios,107460.67,4.0,317,262
Balneário Shopping,Premium,1,Moda,1282533.48,44.46,2457,1225
Balneário Shopping,Premium,2,Beleza e Bem-estar,368890.95,12.79,851,573
Balneário Shopping,Premium,3,Calçados,243992.1,8.46,429,341
Balneário Shopping,Premium,4,Joalheria,224278.93,7.77,157,139
Balneário Shopping,Premium,5,Gastronomia,151506.58,5.25,1359,650
Balneário Shopping,Premium,6,Ótica,145669.67,5.05,96,88
