segmento,valor,clientes
Moda,260506.73,530
Gastronomia,152579.37,734
Beleza e Bem-estar,83899.92,279
Calçados,82061.88,171
Casa e Decoração,67543.61,274
Esportes,54967.47,119
Ótica,54297.520000000004,21
Joalheria,38884.43,42
Moda Feminina,36486.21,46
Infantil,34996.37,101
Telefonia,29588.8,5
Pets,24110.87,100
Farmácias,22919.42,146
Presentes e Acessórios,21809.69,55
Livrarias,20799.9,196
Eletrônicos,20221.9,17
Eletrodomésticos,18840.85,239
Papelaria,13207.54,161
Gastronomia - Restaurante,5701.71,23
Serviços,2391.35,60
