genero,qtd_clientes,valor_total,pct_clientes
Feminino,798,522126.74,72.94332723948813
Masculino,292,202674.82,26.691042047531994
Nao Informado,3,1605.6399999999999,0.2742230347349177
Outro,1,852.76,0.09140767824497258
