segmento,valor,clientes
Moda,1063436.09,1378
Gastronomia,220051.13999999998,896
Esportes,198789.57,447
Calçados,176289.88,453
Joalheria,165495.34,81
Beleza e Bem-estar,155285.17,510
Telefonia,147320.4,40
Eletrodomésticos,114992.53,301
Eletrônicos,114323.5,35
Ótica,110895.21,76
Moda Feminina,71960.96,125
Infantil,64327.53,195
Casa e Decoração,33560.229999999996,119
Pets,31015.09,141
Papelaria,29993.05,200
Livrarias,27076.12,175
Farmácias,23670.51,205
Presentes e Acessórios,23627.45,107
Serviços,23162.6,305
Vestuário feminino,13532.710000000001,21
