dia_semana,valor,transacoes
Domingo,531433.12,2084
Quarta,289839.65,1311
Quinta,341755.97000000003,1301
Sabado,595799.87,2608
Segunda,422752.89,1743
Sexta,318657.35,1550
Terca,313273.33,1294
