segmento,valor,clientes
Moda,1320207.0,2904
Eletrodomésticos,966538.67,1082
Casa e Decoração,915051.68,1772
Calçados,733865.54,2099
Beleza e Bem-estar,720187.33,2298
Eletrônicos,472059.75,293
Gastronomia,433222.7,2485
Esportes,397049.72000000003,931
Supermercado,371845.62,1050
Telefonia,356063.63,229
Infantil,284017.89,827
Joalheria,248854.56,239
Serviços,183696.73,535
Presentes e Acessórios,183502.16,998
Ótica,108424.47,155
Livrarias,90755.5,585
Pets,84829.75,534
Outros,42070.0,19
Papelaria,16325.97,135
Gastronomia - Restaurante,15590.97,11
