faixa_etaria,Feminino,Masculino,Nao Informado,Outro
16-24 (Gen Z),1960,1158,1,5
25-39 (Millennials),12863,7898,3,40
40-54 (Gen X),12799,8349,4,17
55-69 (Boomers),4135,2618,0,4
70+ (Silent),641,485,0,0
Nao Informado,25,9,38,0
