faixa_etaria,qtd_clientes,valor_total,ticket_medio,freq_media,idade_media,qtd_high_spenders,pct_clientes,pct_valor,shopping,sigla
16-24 (Gen Z),3124,4151295.64,1328.839833546735,5.630921895006402,21.822983354673497,190,5.888562165422604,4.383647118454513,Continente Shopping,CS
25-39 (Millennials),20804,35271913.31,1695.4390170159586,6.365698904056912,32.86060373005191,1953,39.214355726457065,37.24611170881554,Continente Shopping,CS
40-54 (Gen X),21169,41336053.67,1952.6691704851435,6.991024611460154,45.911899475648354,2368,39.90235994872955,43.64966706123985,Continente Shopping,CS
55-69 (Boomers),6757,12021880.13,1779.1742089684772,5.296433328400178,60.66642000887968,695,12.736560355877252,12.694754785106094,Continente Shopping,CS
70+ (Silent),1126,1826791.08,1622.3721847246893,4.539964476021314,74.26376554174068,95,2.1224459021337556,1.9290380999847094,Continente Shopping,CS
Nao Informado,72,91651.42,1272.9363888888888,7.513888888888889,,5,0.13571590137977835,0.09678122639929936,Continente Shopping,CS
