metrica,valor,shopping
Qtd High Spenders,5306.0,Continente Shopping
Valor Total HS,43706014.589999996,Continente Shopping
Ticket Medio HS,8237.092836411608,Continente Shopping
Freq Media HS,25.824915190350545,Continente Shopping
Idade Media HS,42.75287681569515,Continente Shopping
% Feminino HS,63.7203166226913,Continente Shopping
% Masculino HS,36.185450433471544,Continente Shopping
