segmento,valor,clientes,ranking,shopping,sigla
Moda,35076569.51,35148,1,Continente Shopping,CS
Joalheria,7002199.52,3393,2,Continente Shopping,CS
Calçados,6841998.61,14156,3,Continente Shopping,CS
Gastronomia,6838693.3,20912,4,Continente Shopping,CS
Telefonia,6552238.73,1652,5,Continente Shopping,CS
Esportes,5397782.8100000005,11411,6,Continente Shopping,CS
Eletrodomésticos,4482100.54,6231,7,Continente Shopping,CS
Beleza e Bem-estar,4476162.01,11838,8,Continente Shopping,CS
Ótica,4051760.85,2806,9,Continente Shopping,CS
Casa e Decoração,1950395.33,3009,10,Continente Shopping,CS
