loja,valor,clientes,ranking,shopping,sigla
Renner,5502644.73,11110,1,Continente Shopping,CS
Vivara,4728905.35,1400,2,Continente Shopping,CS
Nike Unite,4633676.850000001,7485,3,Continente Shopping,CS
C&A,3441198.57,8146,4,Continente Shopping,CS
Centauro,3186749.17,6483,5,Continente Shopping,CS
Magazine Luiza,2897270.34,1223,6,Continente Shopping,CS
Riachuelo,2721506.73,7175,7,Continente Shopping,CS
Vivo,2175162.5,385,8,Continente Shopping,CS
Decathlon,2086836.3800000001,6064,9,Continente Shopping,CS
Claro,1990487.48,471,10,Continente Shopping,CS
