segmento,valor,clientes
Moda,2039011.22,2674
Joalheria,761099.36,339
Calçados,418851.0,910
Telefonia,407331.14,108
Gastronomia,300890.51,1451
Beleza e Bem-estar,257043.32,961
Esportes,248012.77,666
Eletrodomésticos,211452.06,411
Casa e Decoração,158949.11000000002,289
Moda Feminina,153595.68,251
Ótica,114278.23,111
Infantil,105745.17,319
Eletrônicos,88020.92,47
Presentes e Acessórios,61621.479999999996,224
Papelaria,53132.17,310
Pets,46141.86,265
Livrarias,37411.05,301
Farmácias,33438.47,292
Lazer,1487.0,25
Gastronomia - Restaurante,815.0,9
