segmento,valor,clientes
Moda,2628792.16,3789
Telefonia,875259.94,243
Joalheria,526343.72,287
Ótica,412517.15,309
Calçados,411215.74,1152
Eletrodomésticos,392493.13,660
Beleza e Bem-estar,322899.64,1137
Gastronomia,318315.31,2265
Esportes,291482.47000000003,811
Não informado,184460.16,320
Moda Feminina,177906.98,244
Eletrônicos,147516.54,70
Infantil,143714.95,429
Casa e Decoração,137532.43,288
Vestuário feminino,87127.18,121
Presentes e Acessórios,64471.11,239
Livrarias,53327.24,411
Farmácias,49793.82,402
Papelaria,49698.71,315
Pets,40141.26,229
