segmento,valor,clientes
Moda,2280389.89,3143
Joalheria,859578.11,421
Calçados,669393.43,1094
Casa e Decoração,529728.59,1051
Beleza e Bem-estar,513914.69,1450
Gastronomia,396112.4,2176
Esportes,328186.57,706
Telefonia,318209.27,90
Serviços,277023.49,513
Moda Feminina,268536.81,326
Ótica,232909.56,131
Presentes e Acessórios,218063.73,357
Eletrônicos,196169.34,177
Livrarias,124816.33,824
Papelaria,66708.06,444
Infantil,62441.19,266
Pets,46461.47,254
Farmácias,42607.99,326
Gastronomia - Restaurante,38023.8,127
Eletrodomésticos,31764.28,406
